x,y,name,mode,pitch_histogram,type
11.752837,3.1588392,The $150 Boot,major,"[0.         0.20833333 0.27777778 0.         0.15277777 0.
 0.11111111 0.01388889 0.         0.06944444 0.         0.16666667]",polka
11.560984,-1.104876,'G Iomain Nan Gamhna,major,"[0.08       0.05223881 0.11597015 0.         0.23447761 0.
 0.13932836 0.07246269 0.         0.14843284 0.         0.15708955]",slip jig
7.9577117,1.3117955,'S Ann An Ìle,major,"[0.         0.08160173 0.17792208 0.         0.11861472 0.
 0.15757576 0.02965368 0.         0.34751082 0.         0.08712121]",strathspey
-2.0376358,0.48188844,'S Daor An Tabac,minor,"[0.15   0.     0.2    0.     0.     0.1125 0.     0.2625 0.     0.075
 0.2    0.    ]",reel
13.615076,-1.1502292,'S Iomadh Rud A Chunnaic Mi,major,"[0.         0.01682243 0.24074331 0.         0.19123685 0.
 0.22693745 0.00363636 0.         0.16955533 0.         0.15106827]",reel
10.639491,0.09455793,'Tis Better To Wear Out Than Rust Out,major,"[0.         0.10218978 0.17518248 0.         0.24817518 0.
 0.16058394 0.11678832 0.         0.13138686 0.         0.06569343]",reel
12.352855,1.4674299,'Twould Have Melted The Heart Of A Stone,major,"[0.         0.125      0.32352941 0.         0.09558823 0.
 0.17647059 0.09558824 0.         0.15441177 0.         0.02941176]",jig
12.502579,-3.0116196,'s Toigh Leam Fhìn Buntàta 's Ìm,major,"[0.         0.         0.15       0.         0.1        0.
 0.21666667 0.1        0.         0.33333333 0.         0.1       ]",strathspey
4.082575,0.48645347,10-Na,dorian,"[0.05797101 0.         0.16425121 0.         0.2173913  0.11594203
 0.14975845 0.11594203 0.         0.17874397 0.         0.        ]",slip jig
1.334491,-1.553922,100 Watt Reels,dorian,"[0.18198031 0.02055799 0.29816679 0.         0.09110767 0.04765525
 0.00615219 0.10317702 0.         0.17473594 0.         0.07646685]",reel
2.3673925,-0.947601,The 100th Day,mixolydian,"[0.16470588 0.         0.1882353  0.         0.17647058 0.
 0.         0.21176471 0.         0.21176471 0.         0.04705882]",jig
0.3398818,-1.159833,101 To Dublin,dorian,"[0.16483516 0.03296703 0.2967033  0.         0.14285714 0.10989011
 0.         0.0989011  0.         0.10989011 0.01098901 0.03296703]",waltz
13.950946,-0.32934505,The 10k,major,"[0.         0.03496503 0.26573427 0.         0.15384615 0.
 0.18181818 0.04895105 0.         0.13286713 0.         0.18181818]",reel
5.775123,-0.75123954,10th Bat Crossing Rhine,mixolydian,"[0.11498656 0.03252033 0.1627557  0.         0.06504065 0.
 0.14601938 0.15789241 0.         0.17212907 0.         0.14865591]",jig
3.2767177,0.5626194,12 Weeks And A Day,minor,"[0.08411033 0.00266667 0.20157887 0.         0.08466511 0.13997669
 0.06933333 0.15579643 0.         0.16208081 0.03045843 0.06933333]",reel
13.081462,0.609071,128 South,major,"[0.         0.05747126 0.27586207 0.         0.16091954 0.
 0.16091954 0.05747126 0.         0.16091954 0.         0.12643678]",reel
-1.6513325,-0.45632204,12th Of June,minor,"[0.17204301 0.         0.2688172  0.         0.         0.13978494
 0.         0.24731183 0.         0.17204301 0.         0.        ]",jig
0.17319715,0.5653045,13 Munroe Avenue,minor,"[0.13714285 0.         0.21714286 0.         0.15428571 0.16571429
 0.         0.16571429 0.         0.13714286 0.01714286 0.00571429]",jig
9.890704,-1.7224048,15th Scottish Division,major,"[0.         0.03307178 0.17343795 0.         0.19575705 0.
 0.27951177 0.15286254 0.         0.11467597 0.         0.05068294]",waltz
9.930861,-1.4279935,17th Of July,major,"[0.         0.04697987 0.17449664 0.         0.17449664 0.
 0.22818792 0.11409396 0.         0.17449665 0.         0.08724832]",waltz
7.8907394,1.6556495,18-6 Two Step,major,"[0.01915709 0.04597701 0.07662836 0.00383142 0.11877395 0.00766284
 0.1072797  0.08429119 0.07662835 0.25670497 0.03831418 0.16475096]",jig
8.441771,0.03788499,1802 Station Fiddle,major,"[0.         0.04310345 0.18103448 0.         0.12931034 0.
 0.20689655 0.09482759 0.         0.28448276 0.         0.06034483]",reel
11.197752,-0.5095005,1868,major,"[0.00649351 0.05844156 0.24025974 0.         0.1038961  0.
 0.21428571 0.09090909 0.         0.15584416 0.         0.12987013]",waltz
5.1186576,0.34434918,1921,major,"[0.05384616 0.13076923 0.20769231 0.         0.15384616 0.01538462
 0.0923077  0.1076923  0.         0.17692307 0.         0.06153846]",reel
-1.6522301,0.5308822,1st August,dorian,"[0.09901861 0.         0.16469007 0.         0.04952813 0.29433048
 0.00262467 0.20697268 0.         0.17082042 0.         0.01201494]",reel
8.576212,1.0904826,1st Degree,major,"[0.         0.06578947 0.18421053 0.         0.14473684 0.
 0.17105263 0.07894736 0.01315789 0.25000001 0.         0.09210526]",jig
6.5599265,-1.0686915,1st Floor March,mixolydian,"[0.06666667 0.01904762 0.16190476 0.         0.14285714 0.
 0.20952381 0.15238096 0.         0.19047619 0.         0.05714286]",march
12.174852,-1.5206635,The 2 AM Turtle Patrol,major,"[0.         0.         0.2189781  0.         0.24087591 0.
 0.29927007 0.04379562 0.         0.15328467 0.         0.04379562]",jig
-0.7279205,0.9298898,2-Rivisjenkka,minor,"[0.145686   0.         0.20258133 0.         0.15144979 0.12507072
 0.         0.00852193 0.         0.25014145 0.1165488  0.        ]",march
-0.5525192,0.29728267,000 Leagues 20,dorian,"[0.21311475 0.         0.14754098 0.         0.13114754 0.14754098
 0.         0.14754098 0.         0.21311476 0.         0.        ]",slip jig
0.117334336,-1.28824,23,minor,"[0.13384484 0.         0.42220801 0.         0.14471441 0.09356352
 0.         0.0326087  0.         0.09249787 0.08056266 0.        ]",barndance
-0.20202748,-0.42945236,249 To Wigton,minor,"[0.07142857 0.         0.30952382 0.         0.14285714 0.14285714
 0.         0.04761904 0.         0.28571429 0.         0.        ]",jig
-0.58515555,0.7797338,250 To Vigo,minor,"[0.09743408 0.         0.23990687 0.         0.11401536 0.16601616
 0.         0.11112265 0.02083333 0.1928237  0.05784784 0.        ]",reel
1.0408742,-1.6091231,The 28th Of January,dorian,"[0.1858407  0.         0.30973451 0.         0.1061947  0.0619469
 0.         0.09734514 0.         0.16814159 0.         0.07079647]",reel
14.854373,-0.7460692,29 Pentwin Terrace,major,"[0.         0.08       0.28       0.         0.12       0.
 0.10666667 0.         0.         0.18666667 0.         0.22666667]",polka
10.535853,1.5299218,2D Or Not 2D,major,"[0.01470588 0.08823529 0.26470589 0.         0.08823529 0.00735294
 0.11764706 0.11029411 0.01470588 0.19852941 0.         0.09558824]",mazurka
1.9684416,-1.1035401,3 AM In Edradour,dorian,"[0.18617021 0.         0.2393617  0.         0.18617021 0.
 0.         0.24468085 0.         0.12765957 0.         0.01595745]",reel
11.769495,2.525967,The 30 Year,major,"[0.         0.12670682 0.26075811 0.         0.09907773 0.
 0.1427334  0.06739147 0.01188747 0.15675041 0.         0.13469459]",jig
10.012937,2.190694,30-50,major,"[0.         0.09090909 0.21212121 0.         0.07070707 0.
 0.14141414 0.16161616 0.         0.12121212 0.         0.2020202 ]",polka
10.126245,2.2502143,30th Anniversary,major,"[0.         0.15384615 0.17094017 0.         0.12820513 0.
 0.18803418 0.08547009 0.         0.14529915 0.01709402 0.11111111]",slip jig
13.57772,-0.1904449,000 Feet 37,major,"[0.         0.02197802 0.29670329 0.         0.17582418 0.
 0.21978022 0.02197802 0.         0.15384615 0.         0.10989011]",reel
2.9640703,0.13795508,The 3rd Beekeeper,dorian,"[0.07207207 0.         0.21621621 0.         0.13513514 0.13513514
 0.         0.11711712 0.         0.18018018 0.         0.14414414]",three-two
13.044191,-2.1697228,4 For $4,major,"[0.         0.         0.24113475 0.         0.11347518 0.
 0.21985816 0.05673759 0.         0.21985816 0.         0.14893617]",reel
13.801903,-0.10687005,40,major,"[0.         0.01538462 0.31538462 0.         0.23076923 0.
 0.16153846 0.02307692 0.         0.13846154 0.         0.11538461]",march
-0.98026824,0.03286732,40 Vloaz 'zo,minor,"[0.13333333 0.         0.21333333 0.         0.10666667 0.14666667
 0.         0.22666667 0.         0.17333333 0.         0.        ]",barndance
-1.867647,0.35960302,40 Year,minor,"[0.13401737 0.         0.16718028 0.         0.03347808 0.17565485
 0.         0.21347528 0.         0.21347528 0.06271887 0.        ]",waltz
14.572283,-0.87697005,42 Beech Avenue,major,"[0.         0.02196216 0.27110721 0.         0.15395851 0.
 0.13479748 0.03703322 0.         0.20499734 0.         0.17614408]",reel
0.24972226,1.2646074,42nd Highlanders Farewell,minor,"[0.08382238 0.         0.23420383 0.         0.17835485 0.20980047
 0.         0.16793819 0.         0.12588028 0.         0.        ]",reel
13.222991,-1.7671561,47 Upper Hillsborough,major,"[0.         0.00735294 0.18382353 0.         0.17647059 0.
 0.19117647 0.05882352 0.         0.19852941 0.         0.18382353]",reel
-0.046505913,1.5616322,48 Bardes,minor,"[0.0862069  0.         0.18103448 0.         0.21551724 0.19827586
 0.         0.12068966 0.         0.14655172 0.05172414 0.        ]",jig
14.190671,-1.6008941,The 5 Tune,major,"[0.         0.05035971 0.2086331  0.         0.13669065 0.
 0.17266187 0.05035971 0.         0.18705036 0.         0.1942446 ]",reel
14.746293,-1.3596492,The 51st Highland Division,major,"[0.03478261 0.06069839 0.25436494 0.         0.08760698 0.
 0.16922287 0.         0.         0.19448819 0.         0.19883601]",march
0.004774152,1.4117023,549 Cm,minor,"[0.13286713 0.         0.16783217 0.         0.16083916 0.27272727
 0.         0.12587413 0.         0.07692307 0.06293706 0.        ]",reel
-0.9727286,0.9206501,5:30am,dorian,"[0.11627907 0.         0.13953489 0.         0.13023256 0.13023256
 0.         0.20930232 0.         0.21860465 0.01860465 0.0372093 ]",reel
-0.010436282,1.8367618,5th Horseman Of The Apocalypse,minor,"[0.02720448 0.0760112  0.19468907 0.         0.18429132 0.22496358
 0.         0.09201121 0.03253782 0.11388235 0.05440896 0.        ]",reel
10.834862,-0.52132654,6-8 Du Petit Sarny,major,"[0.         0.09285714 0.25       0.         0.1        0.
 0.23571429 0.07857143 0.         0.16428571 0.         0.07857143]",jig
9.157761,2.2092798,6/8 De L'éclusier,major,"[0.         0.15909091 0.15909091 0.         0.14772727 0.
 0.13636363 0.06818182 0.         0.23863636 0.         0.0909091 ]",jig
9.117939,-1.0995209,6/8 De Lachine,major,"[0.         0.07291667 0.13541667 0.         0.11458334 0.
 0.26041666 0.125      0.         0.17708333 0.         0.11458334]",jig
8.232101,-1.2362384,6/8 Des Rapides,major,"[0.         0.03947368 0.11842105 0.         0.09210526 0.
 0.23684211 0.22368421 0.         0.18421053 0.         0.10526316]",jig
1.8195097,-0.41367048,619,dorian,"[0.20143885 0.         0.17266187 0.         0.22302159 0.07194244
 0.         0.07913669 0.00719424 0.15827339 0.01438849 0.07194244]",reel
9.867222,3.0079184,7 Charles Street,major,"[0.         0.14556962 0.1835443  0.         0.08227848 0.
 0.13924051 0.09493671 0.         0.17721519 0.         0.17721519]",jig
10.092146,3.5635576,The 70th Year,major,"[0.         0.1005291  0.09523809 0.05291005 0.12698413 0.
 0.2010582  0.02116402 0.03703704 0.15873016 0.         0.20634921]",jig
9.476671,1.2987725,The 72nd Highlanders' Farewell To Aberdeen,major,"[0.01199606 0.0741157  0.22391834 0.         0.1328567  0.
 0.1401893  0.08492692 0.0014881  0.21226136 0.         0.11824753]",march
5.2222905,-1.1755683,74th Highlanders' Quickstep,mixolydian,[0.08 0.   0.28 0.   0.16 0.   0.19 0.15 0.   0.13 0.   0.01],march
0.87889403,0.9698972,78 Eatonwood Green,dorian,"[0.08743169 0.01639344 0.17486339 0.         0.21857923 0.15846994
 0.         0.13114754 0.         0.13661202 0.01092896 0.06557377]",slip jig
13.82411,-2.3220744,79th's Farewell To Gibraltar,major,"[0.00561798 0.         0.22582963 0.         0.12284427 0.
 0.19424484 0.03148681 0.         0.24287954 0.         0.17709694]",march
9.861298,2.2173665,9 Years Later,major,"[0.         0.11904762 0.19841269 0.         0.09523809 0.
 0.1984127  0.05555556 0.         0.17460317 0.         0.15873016]",jig
1.9479628,-1.2579927,The 91st At Modder River,minor,"[0.15202434 0.01248439 0.24112864 0.         0.21808561 0.
 0.         0.17768137 0.         0.18849063 0.         0.01010502]",march
10.216107,2.65628,93 Not Out,major,"[0.         0.11811024 0.22047244 0.         0.09448819 0.
 0.12598425 0.11023622 0.         0.16535433 0.         0.16535433]",jig
1.3598888,-0.32410613,The 9th Of July,dorian,"[0.2008547  0.         0.19059829 0.         0.2042735  0.10042735
 0.         0.15       0.         0.13717949 0.         0.01666666]",jig
13.578499,-0.74969125,A '98,major,"[0.         0.01851852 0.25925926 0.         0.23148148 0.
 0.19444445 0.00925926 0.         0.16666667 0.         0.12037037]",march
8.635836,-0.96679777,A Bag Of Money,major,"[0.         0.01008045 0.14938053 0.         0.15929756 0.
 0.25204967 0.1100975  0.         0.287377   0.         0.0317173 ]",reel
4.3931627,-1.1134603,A Barrel Of Knives,mixolydian,"[0.13636364 0.         0.25       0.         0.09090909 0.
 0.07954545 0.1590909  0.         0.19318182 0.         0.09090909]",jig
2.6599998,0.12234701,A Beigele,minor,"[0.16981132 0.00628931 0.23899371 0.08176101 0.06289308 0.0754717
 0.0754717  0.17610062 0.         0.06289308 0.04402516 0.00628931]",polka
2.3073354,-1.8708701,A Bhriogais Uallach,mixolydian,"[0.13119919 0.         0.31971545 0.         0.12286585 0.01626016
 0.02469512 0.13922764 0.         0.22134146 0.         0.02469512]",three-two
11.113014,0.05610311,A Birthday,major,"[0.         0.06498695 0.22046106 0.         0.17266153 0.
 0.16841604 0.10125776 0.00231552 0.1573511  0.00231552 0.11023451]",polka
-0.27164155,1.7839226,A Bit Of Sweed,minor,"[0.01587302 0.04761905 0.24603175 0.         0.15873016 0.18253968
 0.         0.1031746  0.         0.16666667 0.07936508 0.        ]",hornpipe
0.267107,-1.2101936,A Blur Of Heather,minor,"[0.15151515 0.         0.36363636 0.         0.17171717 0.13131313
 0.         0.09090909 0.         0.09090909 0.         0.        ]",jig
14.331512,-0.0853995,A Bonny Lass To Merry Me,major,"[0.         0.00558659 0.31284916 0.         0.15083799 0.
 0.18994414 0.01117318 0.         0.17318435 0.         0.15642458]",reel
10.838928,2.8764205,Twenty Marlboro Reds And £50 Cashback A Bottle Of Vodka,major,"[0.         0.19569417 0.23025099 0.         0.08257857 0.
 0.09985375 0.12327411 0.         0.11798864 0.         0.15035977]",jig
10.451252,3.0269995,A Boy From Home,major,"[0.         0.1627907  0.22093023 0.         0.10465116 0.
 0.10465116 0.08139535 0.         0.1744186  0.         0.15116279]",jig
-1.6155205,1.7749661,A Brandnew Night,minor,"[0.05       0.04166667 0.13333333 0.         0.125      0.175
 0.         0.21666667 0.         0.175      0.08333333 0.        ]",hornpipe
11.768776,1.5845635,A Breath Of Fresh Air,major,"[0.         0.15517241 0.27011494 0.         0.18965517 0.
 0.14367816 0.08045977 0.         0.12643678 0.         0.03448276]",hornpipe
12.576072,-1.1739112,A Breton In Paris,major,"[0.         0.         0.16993041 0.         0.23301037 0.
 0.17531582 0.089622   0.         0.14101002 0.         0.19111139]",reel
0.78269815,1.0917734,A Bridge Between Lockdowns,minor,"[0.13186813 0.         0.14285714 0.         0.28571429 0.17582417
 0.         0.12087912 0.         0.10989011 0.03296703 0.        ]",jig
12.798494,-0.11034064,A Bright May Morning,major,"[0.         0.04659574 0.23434043 0.0106383  0.15178723 0.
 0.15978723 0.07191489 0.         0.17314893 0.         0.15178723]",reel
-0.78754073,1.839722,A Bruxa,minor,"[0.05296121 0.01163632 0.14596974 0.00136612 0.16648201 0.20469405
 0.         0.10662726 0.00276657 0.18821275 0.09773223 0.02155172]",waltz
10.429426,0.6749172,A Bucket Full,major,"[0.         0.13076923 0.19230769 0.         0.16153846 0.
 0.1923077  0.07692308 0.         0.16923077 0.         0.07692308]",polka
-1.2696366,-0.4060201,A Bucket Full Of Dreams,minor,"[0.10588236 0.         0.25882353 0.         0.03529412 0.14117647
 0.         0.17647059 0.         0.27058823 0.01176471 0.        ]",jig
11.331606,1.9213047,A Builder Of Bridges,major,"[0.0078163  0.13600973 0.26368613 0.         0.15009124 0.
 0.09847932 0.11776156 0.00416667 0.16362531 0.         0.05836375]",hornpipe
12.671962,-0.0021584034,A Change In The Weather,major,"[0.         0.03846154 0.30769231 0.         0.25       0.
 0.19230769 0.06730769 0.         0.08653846 0.         0.05769231]",jig
12.048142,1.3403665,A Chicken Wrap,major,"[0.         0.10309278 0.29896907 0.         0.18556701 0.
 0.12371134 0.11340207 0.         0.10309279 0.         0.07216495]",jig
-1.0931737,-0.2536314,A Chomaraigh Aoibhinn O,minor,"[0.18028674 0.         0.20197133 0.         0.06577061 0.12060932
 0.         0.18602151 0.         0.21254481 0.0327957  0.        ]",reel
13.976847,0.5148914,A Christmas,major,[0.    0.064 0.312 0.    0.176 0.    0.152 0.024 0.    0.136 0.    0.136],jig
12.769327,-2.1154404,A Chur Nan Gobhar Às A' Chreig,major,"[0.         0.         0.18843714 0.         0.21482565 0.
 0.2412872  0.0251538  0.         0.19713088 0.         0.13316532]",reel
-0.6614233,0.9765741,A Classical,mixolydian,[0.128 0.024 0.16  0.    0.128 0.152 0.032 0.128 0.    0.208 0.032 0.008],reel
12.724753,-0.3430037,A Cloudy Morning,major,"[0.         0.03053435 0.28244274 0.         0.11450382 0.
 0.21374046 0.05343512 0.         0.19847329 0.         0.10687023]",reel
7.4063525,-0.7766202,A Cold Winter,minor,[0.06 0.   0.1  0.08 0.04 0.06 0.18 0.22 0.   0.18 0.08 0.  ],waltz
12.410985,0.023634741,A Cork,major,"[0.         0.05524862 0.27071823 0.         0.2320442  0.
 0.19889503 0.08839779 0.         0.07182321 0.         0.08287293]",reel
7.7121387,-0.6362659,A Costa De Galicia,major,"[0.03289518 0.03629929 0.13980452 0.         0.09433771 0.
 0.12676104 0.22204247 0.         0.25011796 0.05851028 0.03923154]",waltz
12.349621,1.3120521,A Country Dance,major,"[0.         0.06896552 0.3275862  0.         0.14655172 0.
 0.12068966 0.12068966 0.         0.13793104 0.         0.07758621]",jig
8.116702,-1.0023369,A Country Morning,major,"[0.         0.01587302 0.17460317 0.         0.14285714 0.
 0.17460317 0.22222222 0.         0.2063492  0.         0.06349206]",jig
