name,mode,mode_type,cosine_similarity_to_label,best_fit_mode,best_fit_similarity
"$150 Boot, The",Gmajor,major,0.6330889567299225,dorian,0.816514727474038
'S Ann An Ìle,Gmajor,major,0.49091770012711605,major,0.49091770012711605
'S Ann An Ìle,Gmajor,major,0.5625096217841078,major,0.5625096217841078
'S Iomadh Rud A Chunnaic Mi,Gmajor,major,0.6161473218891433,major,0.6161473218891433
'S Iomadh Rud A Chunnaic Mi,Dmajor,major,0.5968487334771593,mixolydian,0.6930814439541584
'S Iomadh Rud A Chunnaic Mi,Amajor,major,0.6109474702432994,major,0.6109474702432994
'S Iomadh Rud A Chunnaic Mi,Cmajor,major,0.5968487334771593,mixolydian,0.6930814439541584
'S Iomadh Rud A Chunnaic Mi,Cmajor,major,0.5321175336757086,mixolydian,0.6203574530133062
'Tis Better To Wear Out Than Rust Out,Gmajor,major,0.6356967331297764,major,0.6356967331297764
"100th Day, The",Dmixolydian,mixolydian,0.41595210895753415,minor,0.6864313946566222
101 To Dublin,Gdorian,dorian,0.6199131557225129,minor,0.7485176841200472
"10k, The",Dmajor,major,0.2666445650967035,minor,0.419872411238161
10th Bat Crossing Rhine,Dmajor,major,0.5797404444197707,mixolydian,0.7152965686951522
12 Weeks And A Day,Dmajor,major,0.611399835460193,minor,0.8733157551600836
128 South,Dmajor,major,0.31070740885562076,minor,0.47459775088556694
15th Scottish Division,Dmajor,major,0.4751703908741194,mixolydian,0.6176818657265658
"2 AM Turtle Patrol, The",Emajor,major,0.5580924179149952,mixolydian,0.6858289241165838
"20,000 Leagues",Adorian,dorian,0.5399541453485992,minor,0.6598575150138318
23,Gminor,minor,0.4167925498242796,dorian,0.46744636007697726
29 Pentwin Terrace,Gmajor,major,0.46405409686858856,minor,0.741451769809991
"30 Year, The",Gmajor,major,0.5362857195073637,dorian,0.6805665036025638
30th Anniversary,Gmajor,major,0.6431453789615531,dorian,0.8106566504625614
30th Anniversary,Fmajor,major,0.6431453789615531,dorian,0.8106566504625614
"3rd Beekeeper, The",Gdorian,dorian,0.6396972151525541,mixolydian,0.7541862350005537
4 Minutes 33 Seconds,Gdorian,dorian,0.0,major,0.0
4 Minutes 33 Seconds,Gdorian,dorian,0.0,major,0.0
4 Minutes 33 Seconds,Edorian,dorian,0.0,major,0.0
40,Dmajor,major,0.5581291620113367,mixolydian,0.644448446350382
"51st Highland Division, The",Dmajor,major,0.32749410738552187,minor,0.5027141434463127
6/8 De Lachine,Dmajor,major,0.5700060125406197,mixolydian,0.6739043207610198
"72nd Highlanders' Farewell To Aberdeen, The",Cmajor,major,0.5317667727862545,dorian,0.6315555417603798
