tune_id,name,type,meter,mode,abc,date,username,mode_type,keynorm_features
22489,Freya Dances,jig,6/8,Aminor,"DCB,|:A,2A, EAE|F2F DEF|ECD EDC|~B,A,B, DC~B,|
A,2A, EAE|F2F DEF|ECA, DB,G,|1 A,2A, DCB,:|2 A,3 EAB||
|:cEF ABc|dEF Bcd|eA dA cA|BAG EAB|
cEF ABc|dEF Bcd|eba fec|1 A2A EAB:|2 A3||",2022-11-21 21:21:37,Mungo Park,minor,"[0.01020408 0.         0.09183673 0.         0.06122449 0.06122449
 0.         0.08163265 0.         0.16326531 0.10204082 0.
 0.01020408 0.         0.14285714 0.         0.08163265 0.08163265
 0.         0.05102041 0.         0.03061224 0.01020408 0.
 0.         0.         0.01020408 0.         0.01020408 0.
 0.         0.         0.         0.         0.         0.        ]"
5945,Echoes Of Killarney,slide,12/8,Gmajor,"B2 A |: GEG G2 A B2 d ege | d2 B BAB g2 B BAB |
GEG G2 A B2 d ege |1 d2 B ABA G3 B2 A :|2 d2 B ABA G3 G3 ||
|: gfg edd e2 f g2 e | d2 B BAB d2 B B3 |
gfg edd e2 f g2 d |1 BdB ABA G3 G3 :|2 BdB ABA G3 B2 A||",2025-01-02 02:35:42,Bregolas,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.02173913
 0.         0.         0.13043478 0.         0.17391304 0.
 0.2826087  0.         0.         0.15217391 0.         0.09782609
 0.         0.04347826 0.09782609 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
13585,"Liverpool, The",reel,4/4,Dmajor,"FGAG FA3|EFGF EG3|F2 AG FA (3Bcd|cAGE ED D2|
FGAG FGAG|EA3 AcEG|FD (3EFG Ad (3Bcd|cAGE ED D2||
fede faaf|eA3 gfec|dcde f2 af|gaag fd d2|
fede faaf|eA3 Aceg|fddc d2 af|bgea fd d2||",2014-04-28 01:15:02,JACKB,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04385965 0.         0.07894737 0.
 0.0877193  0.11403509 0.         0.12280702 0.         0.01754386
 0.         0.07894737 0.12280702 0.         0.0877193  0.
 0.11403509 0.04385965 0.         0.07894737 0.         0.00877193]"
23262,Heman Dubh,strathspey,4/4,Dmajor,"[M: 2/4]
e2 fa|fe f<d|e2 fa|f<e f<d|
e2 fa|A>B d<e|aa f<e|f>e dB|
A2 Bd|f>e d<B|A<A Bd|e2 ed:|",2023-06-21 17:32:54,birlibirdie,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09302326 0.         0.11627907
 0.         0.         0.18604651 0.         0.25581395 0.
 0.23255814 0.         0.         0.11627907 0.         0.        ]"
6448,Ricky's,hornpipe,4/4,Dmajor,"A2 A>B A2 (3FGA|d>cB>A F2 A2|B>^AB>A G2 B2|A>B (3AGF E2 D>F|
A>^GA>B A>=GF>A|d2 (3cBA (3FFF A2|B>dA>d G>eF>d|E>G (3GFE D2:|
e>^de>f (3efe (3cde|f>^ef>g (3fgf (3def|g>be>g f>ad>f|g2 (3fed e2 (3Bcd|
e2 e>f e>cd>e|f2 fg f3 d|1 B2 A>d G2 F>d|e>g (3gfe d2:|
2 (3Bcd A>d G>e (3FED|E>G (3GFE D2||",2006-12-02 12:30:02,ceolachan,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03007519 0.         0.04511278 0.
 0.09774436 0.08270677 0.0075188  0.13533835 0.0075188  0.09022556
 0.         0.04511278 0.12781955 0.0075188  0.12781955 0.0075188
 0.11278195 0.06015038 0.         0.0075188  0.         0.0075188 ]"
15998,Paddy The Piper,jig,6/8,Dmajor,"|:A|Add dcd|efg afd|Add dcd|edc d2A|
Add dcd|efg aga|bab afd|gec d2:|
|:A|dfa afd|Bgf gec|dcd Bgd|{a} gec d2A|
dfa afd|Bgf gec|dAF DFA|Bec d2:|
M: 9/8
|:B|AFA GEc d2B|AFA GFE D2 (F/G/)|AFA GEa a2g|fdf gec d2 B/B/|
AFA GEc d2B|AFA GFE D2 F/G/|AFA GEa a2 g/g/|fdf gec d2:|",2024-01-30 21:16:12,brailsford,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01863354 0.         0.03726708 0.
 0.07453416 0.04968944 0.         0.13043478 0.         0.05590062
 0.         0.08695652 0.20496894 0.         0.0621118  0.
 0.08695652 0.0931677  0.         0.08695652 0.         0.01242236]"
19268,Tripping Up The Stars,jig,6/8,Dmajor,"F2A AFA|B2dd2e|fed BdB|ABA FED|
G2B BdB|AdA FED|EGB GBd|1 cBA ADE:|2 cBA AFG||
Ade fed|=cef g2b|aff gee|fdd ecA|
G2B BdB|AdA FED|EGB GBd|1 cBA AFG:|2 cBA ADE||",2020-05-20 09:55:49,gian marco,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04901961 0.         0.06862745 0.
 0.06862745 0.07843137 0.         0.18627451 0.         0.17647059
 0.00980392 0.04901961 0.1372549  0.         0.07843137 0.
 0.05882353 0.01960784 0.         0.00980392 0.         0.00980392]"
314,Poor But Happy At 53,reel,4/4,Eminor,"|:B,|EFGA BE E/E/E|BcAc BEGE|DEFG AFDF|A/A/A GB AGFD|
EFGA Beed|edBA B/c/B GA|BEGB AD F/G/A|GEDF E^DE:|
|:e|edBA B/c/B ef|gfed BA B/c/d|edef gbaf|gfed e3 f|
eBBA BGEG|BG A/G/F GFEG|BEGB ADFA|GEDF E3:|",2006-05-20 09:52:41,ceolachan,minor,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00763359 0.         0.
 0.05343511 0.00763359 0.13740458 0.         0.09160305 0.13740458
 0.         0.13740458 0.         0.16030534 0.03816794 0.
 0.05343511 0.         0.09160305 0.         0.04580153 0.02290076
 0.         0.00763359 0.         0.00763359 0.         0.        ]"
7283,Old Tom Of Oxford,reel,4/4,Gmajor,"|:Bc|d2ef g2d2|c2B2 A2BA|G2Bc d2g2|f2g2 a2gf|
d2ef g2d2|c2B2 A2ef|g2d2 c2B2|A4 G2:|
|:dc|Bcd2 B2d2|B2d2 gfed|c2e2 c2e2|c2e2 agfe|
B2d2 B2c2|d2ef g2f2|g2d2 c2B2|A4 G2:|",2007-05-29 20:48:25,fidicen,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03947368 0.         0.06578947 0.
 0.15789474 0.15789474 0.         0.18421053 0.         0.11842105
 0.         0.11842105 0.13157895 0.         0.02631579 0.
 0.         0.         0.         0.         0.         0.        ]"
1072,"Tempest, The",jig,6/8,Gmajor,"|:dc|B2B Bgf|e2e efg|ded dcB|cBcAdc|
B2B Bgf|e2e efg|ded cBA|GAG G:|
ga|b2g a2f|gfe d2c|Bdg dBG|FAA Aga|
b2g a2f|gfe agf|bag fge|dgf edc|
B2B Bgf|e2e efg|ded dcB|cBcAdc|
B2B Bgf|e2e efg|ded cBA|GAG G3||",2002-10-23 13:52:09,fidicen,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00763359 0.05343511 0.         0.06870229 0.
 0.15267176 0.09923664 0.         0.13740458 0.         0.15267176
 0.         0.11450382 0.14503817 0.         0.04580153 0.
 0.02290076 0.         0.         0.         0.         0.        ]"
